track_id,state,start_frame,end_frame,duration_seconds,is_value_added,description,zone
1,idle,0,0,0.33,False,,
1,moving_loaded,1,9,3.0,True,,
2,idle,0,2,1.0,False,,
2,moving_empty,3,3,0.33,True,,
2,moving_loaded,4,11,2.67,True,,
3,idle,0,0,0.33,False,,
3,moving_empty,1,1,0.33,True,,
3,moving_loaded,2,4,1.0,True,,
4,moving_loaded,0,2,1.0,True,,
4,moving_empty,3,3,0.33,True,,
